"id","site","gender","age_months_t1","age_group_t1","age_months_t2","age_group_t2","cpa_1_t1","cpa_2_t1","cpa_3_rs_t1","cpa_4_t1","cpa_5_rs_t1","cpa_6_t1","cpa_7_t1","cpa_8_t1","cpa_9_t1","cpa_10_t1","cpa_11_rs_t1","cpa_12_t1","cpa_1_v2_t2","cpa_2_t2","cpa_3_rs_t2","cpa_4_t2","cpa_5_v2_t2","cpa_6_t2","cpa_7_t2","cpa_8_t2","cpa_9_t2","cpa_10_t2","cpa_11_rs_t2","cpa_12_t2","language"
"CA_pr1_001_3_g",1,1,47,"4",60,"5",4,2,1,2,2,2,2,3,4,2,3,2,3,3,1,3,2,2,2,3,2,3,2,2,"1"
"CA_pr1_002_5_b",1,0,68,"6",81,"7",4,1,2,1,2,2,2,3,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_003_6_g",1,1,81,"6",94,"7",3,3,2,3,2,2,2,2,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_004_4_g",1,1,57,"5",71,"6",4,3,2,3,3,2,4,3,4,3,2,2,3,2,2,3,3,2,2,4,2,2,3,2,"1"
"CA_pr1_006_6_b",1,0,77,"6",90,"7",4,4,1,4,2,1,1,4,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_007_4_b",1,0,49,"4",62,"5",2,4,2,4,3,2,2,4,4,3,2,2,3,4,1,4,3,3,2,3,3,4,1,2,"1"
"CA_pr1_008_4_g",1,1,55,"5",67,"6",3,4,2,3,3,4,3,4,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_009_6_b",1,0,80,"6",93,"7",4,3,2,3,4,3,2,4,3,3,2,3,4,4,2,4,3,3,3,4,4,3,3,3,"1"
"CA_pr1_013_7_g",1,1,91,"6",NA,NA,4,3,3,4,3,3,2,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_014_3_b",1,0,44,"4",60,"5",2,1,2,2,3,2,2,3,3,2,3,1,3,2,1,3,2,2,2,3,3,3,2,2,"1"
"CA_pr1_015_6_g",1,1,76,"6",92,"7",3,2,3,2,4,2,4,4,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_017_5_g",1,1,67,"6",80,"7",3,3,2,4,3,2,2,NA,2,3,3,2,3,3,2,3,3,3,2,2,3,3,3,4,"1"
"CA_pr1_019_3_b",1,0,43,"4",55,"5",2,1,2,2,4,2,2,4,3,2,3,1,1,2,2,2,2,2,1,3,2,1,3,1,"1"
"CA_pr1_020_4_g",1,1,58,"5",71,"6",4,3,2,3,2,2,1,3,2,2,3,2,2,2,3,4,3,1,3,3,3,2,3,2,"1"
