"","item","response","Frequency","Proportion"
"1","cpa_10_t1","1",4,0.00833333333333333
"2","cpa_10_t1","2",32,0.0666666666666667
"3","cpa_10_t1","3",143,0.297916666666667
"4","cpa_10_t1","4",165,0.34375
"5","cpa_10_t1","5",48,0.1
"6","cpa_10_t1","6",70,0.145833333333333
"7","cpa_10_t1",NA,18,0.0375
"8","cpa_10_t2","1",1,0.00208333333333333
"9","cpa_10_t2","2",19,0.0395833333333333
"10","cpa_10_t2","3",114,0.2375
"11","cpa_10_t2","4",142,0.295833333333333
"12","cpa_10_t2","5",58,0.120833333333333
"13","cpa_10_t2","6",44,0.0916666666666667
"14","cpa_10_t2",NA,102,0.2125
"15","cpa_11_rs_t1","1",8,0.0166666666666667
"16","cpa_11_rs_t1","2",39,0.08125
"17","cpa_11_rs_t1","3",131,0.272916666666667
"18","cpa_11_rs_t1","4",171,0.35625
"19","cpa_11_rs_t1","5",88,0.183333333333333
"20","cpa_11_rs_t1","6",25,0.0520833333333333
"21","cpa_11_rs_t1",NA,18,0.0375
"22","cpa_11_rs_t2","1",2,0.00416666666666667
"23","cpa_11_rs_t2","2",21,0.04375
"24","cpa_11_rs_t2","3",73,0.152083333333333
"25","cpa_11_rs_t2","4",172,0.358333333333333
"26","cpa_11_rs_t2","5",88,0.183333333333333
"27","cpa_11_rs_t2","6",22,0.0458333333333333
"28","cpa_11_rs_t2",NA,102,0.2125
"29","cpa_12_t1","1",33,0.06875
"30","cpa_12_t1","2",86,0.179166666666667
"31","cpa_12_t1","3",131,0.272916666666667
"32","cpa_12_t1","4",102,0.2125
"33","cpa_12_t1","5",24,0.05
"34","cpa_12_t1","6",86,0.179166666666667
"35","cpa_12_t1",NA,18,0.0375
"36","cpa_12_t2","1",22,0.0458333333333333
"37","cpa_12_t2","2",89,0.185416666666667
"38","cpa_12_t2","3",114,0.2375
"39","cpa_12_t2","4",83,0.172916666666667
"40","cpa_12_t2","5",19,0.0395833333333333
"41","cpa_12_t2","6",50,0.104166666666667
"42","cpa_12_t2",NA,103,0.214583333333333
"43","cpa_1_t1","1",3,0.00625
"44","cpa_1_t1","2",10,0.0208333333333333
"45","cpa_1_t1","3",62,0.129166666666667
"46","cpa_1_t1","4",169,0.352083333333333
"47","cpa_1_t1","5",209,0.435416666666667
"48","cpa_1_t1","6",9,0.01875
"49","cpa_1_t1",NA,18,0.0375
"50","cpa_1_v2_t2","1",2,0.00416666666666667
"51","cpa_1_v2_t2","2",16,0.0333333333333333
"52","cpa_1_v2_t2","3",133,0.277083333333333
"53","cpa_1_v2_t2","4",146,0.304166666666667
"54","cpa_1_v2_t2","5",78,0.1625
"55","cpa_1_v2_t2","6",3,0.00625
"56","cpa_1_v2_t2",NA,102,0.2125
"57","cpa_2_t1","1",16,0.0333333333333333
"58","cpa_2_t1","2",32,0.0666666666666667
"59","cpa_2_t1","3",159,0.33125
"60","cpa_2_t1","4",154,0.320833333333333
"61","cpa_2_t1","5",62,0.129166666666667
"62","cpa_2_t1","6",38,0.0791666666666667
"63","cpa_2_t1",NA,19,0.0395833333333333
"64","cpa_2_t2","1",8,0.0166666666666667
"65","cpa_2_t2","2",27,0.05625
"66","cpa_2_t2","3",126,0.2625
"67","cpa_2_t2","4",135,0.28125
"68","cpa_2_t2","5",62,0.129166666666667
"69","cpa_2_t2","6",20,0.0416666666666667
"70","cpa_2_t2",NA,102,0.2125
"71","cpa_3_rs_t1","1",13,0.0270833333333333
"72","cpa_3_rs_t1","2",57,0.11875
"73","cpa_3_rs_t1","3",152,0.316666666666667
"74","cpa_3_rs_t1","4",159,0.33125
"75","cpa_3_rs_t1","5",58,0.120833333333333
"76","cpa_3_rs_t1","6",23,0.0479166666666667
"77","cpa_3_rs_t1",NA,18,0.0375
"78","cpa_3_rs_t2","1",10,0.0208333333333333
"79","cpa_3_rs_t2","2",36,0.075
"80","cpa_3_rs_t2","3",132,0.275
"81","cpa_3_rs_t2","4",138,0.2875
"82","cpa_3_rs_t2","5",55,0.114583333333333
"83","cpa_3_rs_t2","6",7,0.0145833333333333
"84","cpa_3_rs_t2",NA,102,0.2125
"85","cpa_4_t1","1",4,0.00833333333333333
"86","cpa_4_t1","2",22,0.0458333333333333
"87","cpa_4_t1","3",111,0.23125
"88","cpa_4_t1","4",180,0.375
"89","cpa_4_t1","5",126,0.2625
"90","cpa_4_t1","6",19,0.0395833333333333
"91","cpa_4_t1",NA,18,0.0375
"92","cpa_4_t2","2",18,0.0375
"93","cpa_4_t2","3",96,0.2
"94","cpa_4_t2","4",151,0.314583333333333
"95","cpa_4_t2","5",101,0.210416666666667
"96","cpa_4_t2","6",12,0.025
"97","cpa_4_t2",NA,102,0.2125
"98","cpa_5_rs_t1","1",18,0.0375
"99","cpa_5_rs_t1","2",24,0.05
"100","cpa_5_rs_t1","3",85,0.177083333333333
"101","cpa_5_rs_t1","4",146,0.304166666666667
"102","cpa_5_rs_t1","5",187,0.389583333333333
"103","cpa_5_rs_t1","6",2,0.00416666666666667
"104","cpa_5_rs_t1",NA,18,0.0375
"105","cpa_5_v2_t2","1",1,0.00208333333333333
"106","cpa_5_v2_t2","2",10,0.0208333333333333
"107","cpa_5_v2_t2","3",119,0.247916666666667
"108","cpa_5_v2_t2","4",168,0.35
"109","cpa_5_v2_t2","5",80,0.166666666666667
"110","cpa_5_v2_t2",NA,102,0.2125
"111","cpa_6_t1","1",18,0.0375
"112","cpa_6_t1","2",61,0.127083333333333
"113","cpa_6_t1","3",184,0.383333333333333
"114","cpa_6_t1","4",129,0.26875
"115","cpa_6_t1","5",63,0.13125
"116","cpa_6_t1","6",7,0.0145833333333333
"117","cpa_6_t1",NA,18,0.0375
"118","cpa_6_t2","1",6,0.0125
"119","cpa_6_t2","2",50,0.104166666666667
"120","cpa_6_t2","3",165,0.34375
"121","cpa_6_t2","4",117,0.24375
"122","cpa_6_t2","5",36,0.075
"123","cpa_6_t2","6",4,0.00833333333333333
"124","cpa_6_t2",NA,102,0.2125
"125","cpa_7_t1","1",25,0.0520833333333333
